Class,Feature,Feature Counts,Model
Positive,like,15110.0,Bag of Words
Positive,tast,14851.0,Bag of Words
Positive,love,14716.0,Bag of Words
Positive,great,14525.0,Bag of Words
Positive,good,14238.0,Bag of Words
Positive,use,12339.0,Bag of Words
Positive,one,11805.0,Bag of Words
Positive,flavor,11427.0,Bag of Words
Positive,product,10955.0,Bag of Words
Positive,tri,10884.0,Bag of Words
Positive,make,10573.0,Bag of Words
Positive,get,9508.0,Bag of Words
Positive,time,8144.0,Bag of Words
Positive,best,7836.0,Bag of Words
Positive,find,7595.0,Bag of Words
Positive,buy,7519.0,Bag of Words
Positive,tea,7343.0,Bag of Words
Positive,eat,7065.0,Bag of Words
Positive,amazon,7042.0,Bag of Words
Positive,realli,6936.0,Bag of Words
Negative,like,3022.0,Bag of Words
Negative,tast,2938.0,Bag of Words
Negative,product,2569.0,Bag of Words
Negative,one,2164.0,Bag of Words
Negative,would,1986.0,Bag of Words
Negative,tri,1881.0,Bag of Words
Negative,good,1744.0,Bag of Words
Negative,buy,1706.0,Bag of Words
Negative,get,1595.0,Bag of Words
Negative,flavor,1561.0,Bag of Words
Negative,use,1519.0,Bag of Words
Negative,dont,1475.0,Bag of Words
Negative,even,1375.0,Bag of Words
Negative,order,1352.0,Bag of Words
Negative,eat,1217.0,Bag of Words
Negative,make,1205.0,Bag of Words
Negative,much,1193.0,Bag of Words
Negative,time,1186.0,Bag of Words
Negative,box,1102.0,Bag of Words
Negative,bought,1096.0,Bag of Words
Positive,like,15110.0,TF - IDF
Positive,tast,14851.0,TF - IDF
Positive,love,14716.0,TF - IDF
Positive,great,14525.0,TF - IDF
Positive,good,14238.0,TF - IDF
Positive,use,12339.0,TF - IDF
Positive,one,11805.0,TF - IDF
Positive,flavor,11427.0,TF - IDF
Positive,product,10955.0,TF - IDF
Positive,tri,10884.0,TF - IDF
Positive,make,10573.0,TF - IDF
Positive,get,9508.0,TF - IDF
Positive,time,8144.0,TF - IDF
Positive,best,7836.0,TF - IDF
Positive,find,7595.0,TF - IDF
Positive,buy,7519.0,TF - IDF
Positive,tea,7343.0,TF - IDF
Positive,eat,7065.0,TF - IDF
Positive,amazon,7042.0,TF - IDF
Positive,realli,6936.0,TF - IDF
Negative,like,15110.0,TF - IDF
Negative,tast,14851.0,TF - IDF
Negative,love,14716.0,TF - IDF
Negative,great,14525.0,TF - IDF
Negative,good,14238.0,TF - IDF
Negative,use,12339.0,TF - IDF
Negative,one,11805.0,TF - IDF
Negative,flavor,11427.0,TF - IDF
Negative,product,10955.0,TF - IDF
Negative,tri,10884.0,TF - IDF
Negative,make,10573.0,TF - IDF
Negative,get,9508.0,TF - IDF
Negative,time,8144.0,TF - IDF
Negative,best,7836.0,TF - IDF
Negative,find,7595.0,TF - IDF
Negative,buy,7519.0,TF - IDF
Negative,tea,7343.0,TF - IDF
Negative,eat,7065.0,TF - IDF
Negative,amazon,7042.0,TF - IDF
Negative,realli,6936.0,TF - IDF
